artist_name,artist_nationality,artist_birth_year,artist_death_year,auction_house,auction_sale_id,auction_department,auction_location,auction_date,auction_currency,exchange_rate_to_usd,auction_lot_count,lot_id,lot_place_in_auction,lot_description,lot_link,work_title,work_medium,work_execution_year,work_dimensions,work_height,work_width,work_depth,work_measurement_unit,hammer_price,buyers_premium,estimate_low,estimate_high
Sol Lewitt,American,1928,2007,Christies,3053,Post-War & Contemporary,Amsterdam,2015-04-14T00:00:00,EUR,1.0564,261,120,-1,"Sol LeWitt (1928-2007)
Curvy Brushstrokes
signed and dated 'lewitt 96' (lower right)
gouache on cardboard
26.5 x 30 cm.
Executed in 1996",https://www.christies.com/lotfinder/drawings-watercolors/sol-lewitt-curvy-brushstrokes-5886257-details.aspx,Curvy Brushstrokes,watercolor,1996,26.5 x 30 cm.,26.5,30,-1,cm,8000,2000,8000,10000
Sol Lewitt,American,1928,2007,Christies,10420,Post-War & Contemporary,London,2015-03-26T00:00:00,GBP,1.48867182200516,145,47,-1,"Sol LeWitt (1928-2007)
Windows
signed and numbered 'LeWitt 13/20' (lower right)
seventy-two chromogenic print mounted on card
34 ½ x 30 ¾in. (87.8 x 78.1cm.)
Executed in 1980, this work is thirteen from an edition of twenty plus five artist's proofs",https://www.christies.com/lotfinder/photographs/sol-lewitt-windows-5879019-details.aspx,Windows,photograph,1980,34  1/2 x 30  3/4in (87.8 x 78.1cm),87.8,78.1,-1,cm,8000,2000,8000,12000
Sol Lewitt,American,1928,2007,Christies,3715,Post-War & Contemporary,New York,2015-03-06T00:00:00,USD,1,257,110,-1,"Sol LeWitt (1928-2007)
Complex Form
signed and dated 'S. LEWITT 87' (lower right)
gouache on paper
29 3/8 x 22 in. (74.6 x 55.8 cm.)
Executed in 1987.",https://www.christies.com/lotfinder/sculptures-statues-figures/sol-lewitt-complex-form-5871740-details.aspx,Complex Form,watercolor,1987,29 3/8 x 22 in (74.6 x 55.8 cm),74.6,55.8,-1,cm,15000,3750,15000,20000
Sol Lewitt,American,1928,2007,Christies,3715,Post-War & Contemporary,New York,2015-03-06T00:00:00,USD,1,257,90,-1,"Sol LeWitt (1928-2007)
Tangled Lines
signed and dated ' S. LeWitt 01' (lower right)
gouache on paper
30 1/2 x 30 1/8 in. (77.4 x 76.5 cm.)
Executed in 2001.",https://www.christies.com/lotfinder/drawings-watercolors/sol-lewitt-tangled-lines-5871721-details.aspx,Tangled Lines,watercolor,2001,30 1/2 x 30 1/8 in (77.4 x 76.5 cm),77.4,76.5,-1,cm,24000,6000,18000,25000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,61,60,"
                        signed and dated <em>05</em><br>gouache on paper<br>60 1/2  by 59 in.   153.7 by 149.9 cm.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.61.html,Black And White Horizontal Lines On Color,watercolor,1949,60 1/2  by 59 in (153.7 by 149.9 cm),153.7,149.9,-1,cm,160000,40000,70000,100000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,66,65,"
                        signed and dated<em> 00</em><br>gouache on paper<br>29 3/8  by 22 5/8  in.   74.6 by 57.5 cm.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.66.html,Irregular Curves,watercolor,1957,29 3/8  by 22 5/8  in (74.6 by 57.5 cm),74.6,57.5,-1,cm,22500,5625,20000,30000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,104,103,"
                        signed<br>gouache on paper<br>42 by 18 3/8  in.   106.7 by 46.7 cm.<br>Executed in 2002.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.104.html,Tangled Bands,watercolor,2002,42 by 18 3/8  in (106.7 by 46.7 cm),106.7,46.7,-1,cm,15000,3750,10000,15000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,105,104,"
                        signed and dated <em>02</em><br>gouache on paper<br>13 1/4  by 19 3/4  in.   33.7 by 50.2 cm.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.105.html,Tangled Bands,watercolor,1950,13 1/4  by 19 3/4  in (33.7 by 50.2 cm),33.7,50.2,-1,cm,-1,0,8000,12000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,106,105,"
                        signed and dated<em> 99</em><br>gouache on paper<br>11 3/8  by 11 in.   28.9 by 27.9 cm.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.106.html,Loopy Doopy,watercolor,1927,11 3/8  by 11 in (28.9 by 27.9 cm),28.9,27.9,-1,cm,8500,2125,8000,12000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,107,106,"
                        signed and dated <em>96</em><br>gouache on paper<br>22 1/2  by 15 in.   57.2 by 38.1 cm.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.107.html,Squiggly Brushstrokes,watercolor,1938,22 1/2  by 15 in (57.2 by 38.1 cm),57.2,38.1,-1,cm,22000,5500,8000,12000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,58,57,"
                        signed and dated <em>97 </em>on the lower edge<br>painted wood<br>19 1/4  by 20 5/8  by 8 1/2  in.   48.9 by 52.4 by 21.6 cm.<br>Executed in 1997, this work is accompanied by a letter of authenticity from&nbsp;the LeWitt Estate.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.58.html,Open Cube Structure,sculpture,1997,19 1/4  by 20 5/8  by 8 1/2  in (48.9 by 52.4 by 21.6 cm),48.9,52.4,21.6,cm,77500,19375,70000,90000
Sol Lewitt,American,1928,2007,Sothebys,N09316,Post-War & Contemporary,New York,2015-03-05T15:00:00.550000,USD,1,265,60,59,"
                        signed and dated <em>94 </em>twice<br>gouache on paper<br>29 3/4  by 22 1/2  in.   75.6 by 57.2 cm.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-curated-n09316/lot.60.html,Wavy Vertical Brushstrokes,watercolor,1957,29 3/4  by 22 1/2  in (75.6 by 57.2 cm),75.6,57.2,-1,cm,40000,10000,20000,30000
Sol Lewitt,American,1928,2007,Phillips,NY010115,Post-War & Contemporary,New York,2015-03-04T00:00:00,USD,1,213,266,166,"{'medium': 'gouache on paper', 'dimensions': '22 1/2 x 29 3/4 in. (57.2 x 75.6 cm)'}",https://www.phillips.com/detail/SOL-LEWITT/NY010115/266,Irregular Form,watercolor,-1,22 1/2 x 29 3/4 in. (57.2 x 75.6 cm),57.2,75.6,-1,cm,7500,1875,7000,9000
Sol Lewitt,American,1928,2007,Christies,10338,Post-War & Contemporary,London,2015-02-12T00:00:00,GBP,1.53579175704989,172,294,-1,"Sol LeWitt (1928-2007)
Tangled Bands
signed and dated 'S. Lewitt 02' (lower right)
gouache on paper
29 7/8 x 60¼ in. (76 x 153cm.)
Executed in 2002",https://www.christies.com/lotfinder/lot/sol-lewitt-tangled-bands-5871532-details.aspx,Tangled Bands,watercolor,2002,29 7/8 x 60 1/4 in (76 x 153cm),76,153,-1,cm,25000,6250,25000,35000
Sol Lewitt,American,1928,2007,Christies,10338,Post-War & Contemporary,London,2015-02-12T00:00:00,GBP,1.53579175704989,172,295,-1,"Sol LeWitt (1928-2007)
Horizontal Brushtrokes
signed and dated 'S. Lewitt 03' (lower right)
gouache on paper
29½ x 49 5/8in. (75 x 126cm.)
Executed in 2003",https://www.christies.com/lotfinder/lot/sol-lewitt-horizontal-brushtrokes-5871533-details.aspx,Horizontal Brushtrokes,watercolor,2003,29 1/2 x 49 5/8in (75 x 126cm),75,126,-1,cm,26000,6500,25000,35000
Sol Lewitt,American,1928,2007,Sothebys,L15021,Post-War & Contemporary,London,2015-02-11T10:00:00.889000,GBP,1.52974580854516,291,141,39,"
                        signed and dated <em>01</em><br>gouache on paper<br>75 by 58cm.; 29 1/2  by 22 7/8 in.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-art-day-auction-l15021/lot.141.html,Irregular Grid,watercolor,1922,29 1/2  by 22 7/8 in (75 by 58cm),75,58,-1,cm,11500,2875,5000,7000
Sol Lewitt,American,1928,2007,Sothebys,L15021,Post-War & Contemporary,London,2015-02-11T10:00:00.889000,GBP,1.52974580854516,291,142,40,"
                        signed and dated <em>97 </em>on the<em>&nbsp;</em>lower sheet<br>gouache on paper, in two parts<br>each: 56.5  by 75.5cm.; 22 1/4  by 29 3/4 in.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2015/contemporary-art-day-auction-l15021/lot.142.html,"Diptych With Irregular Shapes, On Two Different Colors",watercolor,1929,22 1/4  by 29 3/4 in (56.5  by 75.5cm),56.5,75.5,-1,cm,19000,4750,8000,12000
